Source (2MASS),dist,z/r,z/r_16,z/r_84,Line
J15583620-1946135,155.6,0.3927451466115123,0.05294195689747122,0.06021126014842354,J=3-2
J15583692-2257153,166.5,0.254288722027268,0.01847370330650286,0.012458689044337223,J=3-2
J16035793-1942108,152.9,0.0010075979517285437,0.0008185898870395873,0.0009541351676294883,J=3-2
J16052157-1821412,148.9,0.13095599235081415,0.011289705156147897,0.014138646263053473,J=3-2
J16062383-1807183,148.6,0.16355271959963544,0.033061658702544405,0.01778694959971419,J=3-2
J16062861-2121297,139.7,0.20203635451039298,0.019738905279722496,0.0166151848676514,J=3-2
J16064794-1841437,155.8,0.22099155690205252,0.002937575679047927,0.003318521270657959,J=3-2
J16095933-1800090,135.3,0.19795169027008958,0.06499240262007422,0.047554387292025185,J=3-2
J16101264-2104446,153.8,0.22067444397353153,0.015966524817588035,0.014983348582959188,J=3-2
J16120668-3010270,131.9,0.4512503416077323,0.008957807324095513,0.004578550328222131,J=3-2
J16123916-1859284,134.7,0.0634432666886414,0.0003185773544017584,0.0003084237518053562,J=3-2
J16132190-2136136,144.8,0.2865389618786872,0.03868596449293488,0.022323505007831868,J=3-2
J16140792-1938292,159.5,0.15934445907221698,0.015572977334401106,0.012936453684637778,J=3-2
J16142091-1906051,135.3,0.2993383523377586,0.002191263385050657,0.0011606036197138736,J=3-2
J16145024-2100599,138.5,0.0898792775391991,0.011499605060542914,0.012593602706905044,J=3-2
J16152752-1847097,137.3,0.19853708827652453,0.0008750138555089215,0.0019359627192944984,J=3-2
J16181445-2319251,137.7,0.08354323695816862,0.030229379102389528,0.059826653244700184,J=3-2
J16185382-2053182,131.0,0.11079777900992771,0.03150483613989652,0.04193659527141905,J=3-2
J16202291-2227041,142.0,0.049990244284062506,0.024199695297884575,0.032769793538034934,J=3-2
J16202863-2442087,152.7,0.2133574620681414,0.007603389332541982,0.006490973351103435,J=3-2
J16203960-2634284,148.3,0.23846342625570977,0.00331212379059595,0.003129121209194563,J=3-2
J16213469-2612269,150.8,0.14399046799053414,0.010240357783037918,0.010158898809675077,J=3-2
J16215472-2752053,159.3,0.12473955718909006,0.008556427674416986,0.015016456729914598,J=3-2
J16221532-2511349,139.0,0.17598823215875053,0.014818099965861115,0.01876674820265614,J=3-2
J16222982-2002472,126.0,0.12506335716218764,0.045387826759427596,0.030110980434530393,J=3-2
J16230761-2516339,136.9,0.2591943489909451,0.03064499997035014,0.02441714096901937,J=3-2
J16253798-1943162,150.8,0.1176832881865207,0.013537550111909533,0.009706067046303127,J=3-2
J16271273-2504017,134.7,0.06749657213431712,0.06415039065250303,0.05059095216057133,J=3-2
J16274905-2602437,130.9,0.0016667772450177111,0.0012671992493071007,0.003544717644328365,J=3-2
J16293267-2543291,142.8,0.1776544851977502,0.027032789350710212,0.02556484244028745,J=3-2
J16395577-2347355,150.6,0.05182379129666432,0.012262934871096483,0.0161978059209082,J=3-2
J16142029-1906481,138.8,0.12516452148194354,0.02647657629850289,0.02061459808547783,J=3-2
J16042165-2130284,144.6,0.029674839918680466,0.022254833338175246,0.07071304412268276,J=3-2
